None,coid,mdate,key3,district_id,district,tsign,tsign_fg,location,road_fg,coord_x,coord_y,land,build,berth,land_area,zoning,zoning_fg,ncity_z,ncity_z_fg,land_use,land_use_fg,rent_floor,rent_up_ll,rent_single,tot_floor,top_floor,bstate,bstate_fg,mainuse,mainuse_fg,matl,matl_fg,build_dd,room_age,build_area,room,hall,health,compart,mgt_com,furn,berth_tp,berth_tp_fg,berth_area,tot_prc,unit_prc,berth_prc,rmk,ann_date,abnorm_td,abnorm_loc,abnorm_prc
813,E,2020-04-21 00:00:00+00:00,RPVNMLLKNHPFFIE76CC,鳥松區,833,土地,A,松埔段1141~1170地號,,,,1,0,0,10.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.3,0.0,0.0,有民情風俗因素之交易。;承租地坪約10坪，承租未保存登記建物約10坪,2020-07-01 00:00:00+00:00,,,
814,E,2020-04-22 00:00:00+00:00,RPQOMLOLMHPFFFE98CC,梓官區,826,土地,A,同安段1171~1200地號,,,,2,0,0,54.78,,,鄉村區,13,乙種建築用地,02,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.3,0.0,0.0,有民情風俗因素之交易。;承租未保存登記建物約50坪,2020-06-11 00:00:00+00:00,,,
815,E,2020-04-23 00:00:00+00:00,RPQNMLMKNHPFFIE98CC,大社區,815,土地,A,清福段181~210地號,,,,1,0,0,30.0,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.7,0.1,0.0,有民情風俗因素之交易。;實際承租地坪約30坪，未保存登記建物約23坪,2020-07-01 00:00:00+00:00,,,
816,E,2020-04-25 00:00:00+00:00,RPOQMLMLNHPFFIE56CC,大社區,815,土地,A,保安段841~870地號,,,,1,0,0,25.41,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.9,0.1,0.0,,2020-07-11 00:00:00+00:00,,,
817,E,2020-04-25 00:00:00+00:00,RPSPMLMLNHPFFIE86CC,大社區,815,土地,A,保安段841~870地號,,,,4,0,0,16.94,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.5,0.1,0.0,有未保存登記,2020-07-11 00:00:00+00:00,,,
818,E,2020-04-27 00:00:00+00:00,RPRNMLMKNHPFFIE09CC,鳥松區,833,土地,A,松埔段1141~1170地號,,,,1,0,0,20.01,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.6,0.0,0.0,有民情風俗因素之交易。;土地僅承租未保存建物占地部分約20坪,2020-07-01 00:00:00+00:00,,,
819,E,2020-04-27 00:00:00+00:00,RPRNMLOKNHPFFIE66CC,仁武區,814,土地,A,觀音湖段1261~1290地號,,22.713172,120.385749,1,0,0,127.05,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.3,0.0,0.0,有民情風俗因素之交易。;租賃期間1年0月又12天，承租未保存登記建物約110坪,2020-07-01 00:00:00+00:00,,,
820,E,2020-04-27 00:00:00+00:00,RPSNMLOKNHPFFLE07CC,大寮區,831,土地,A,赤崁段潮州寮二小段3091~3120地號,,,,1,0,0,52.03,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.5,0.0,0.0,有民情風俗因素之交易。;租賃期間3年又4天，承租未保存登記建物約35坪,2020-07-01 00:00:00+00:00,,,
821,E,2020-04-28 00:00:00+00:00,RPQNMLTKNHPFFLE37CC,大寮區,831,土地,A,大寮段2071~2100地號,,,,1,0,0,80.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.2,0.0,0.0,有民情風俗因素之交易。;實際承租地坪約80坪，未保存登記建物約50坪,2020-07-01 00:00:00+00:00,,,
822,E,2020-04-30 00:00:00+00:00,RPPNMLLKNHPFFDE28CC,三民區,807,土地,A,中華段一小段901~930地號,,,,1,0,0,94.68,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,,2020-07-01 00:00:00+00:00,,,
823,E,2020-04-30 00:00:00+00:00,RPSNMLSKNHPFFFE86CC,橋頭區,825,土地,A,新莊段541~570地號,,,,2,0,0,110.19,,,鄉村區,13,乙種建築用地,02,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;,2020-07-01 00:00:00+00:00,,,
824,E,2020-04-30 00:00:00+00:00,RPUNMLLKNHPFFFE98CC,燕巢區,824,土地,A,鳳雄段271~300地號,,,,1,0,0,170.01,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.8,0.0,0.0,有民情風俗因素之交易。;承租地坪約170坪，承租未保存登記建物約170坪,2020-07-01 00:00:00+00:00,,,
825,E,2020-05-01 00:00:00+00:00,RPPNMLNLNHPFFBE38CC,新興區,800,土地,A,新興段四小段781~810地號,,,,1,0,0,23.29,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.5,0.2,0.0,有民情風俗因素之交易。;後2年租金為50000,2020-07-11 00:00:00+00:00,,,
826,E,2020-05-02 00:00:00+00:00,RPWOMLNKNHPFFIE17CC,仁武區,814,土地,A,豐禾段571~600地號,,,,1,0,0,23.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.0,0.0,0.0,有民情風俗因素之交易。;承租地坪約23坪，承租未保存登記建物約20坪,2020-07-01 00:00:00+00:00,,,
827,E,2020-05-05 00:00:00+00:00,RPUOMLKLNHPFFFE09CC,岡山區,820,土地,A,嘉興段211~240地號,,,,1,0,0,428.34,,,特定農業區,11,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;,2020-07-01 00:00:00+00:00,,,
828,E,2020-05-06 00:00:00+00:00,RPOOMLMLNHPFFIE98CC,仁武區,814,土地,A,灣勢段871~900地號,,22.677685,120.357857,1,0,0,30.25,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.5,0.1,0.0,有民情風俗因素之交易。;1.租賃期間:5年1月又9天.2.實際承租地坪約100坪.3.承租未保存登記建物約100坪.,2020-07-11 00:00:00+00:00,,,
829,E,2020-05-06 00:00:00+00:00,RPQNMLNKNHPFFFE78CC,燕巢區,824,土地,A,安招段1~30地號,,,,1,0,0,554.03,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.3,0.0,0.0,,2020-07-01 00:00:00+00:00,,,
830,E,2020-05-06 00:00:00+00:00,RPRNMLPKNHPFFJE86CC,湖內區,829,土地,A,大湖段2101~2130地號,,,,1,0,0,121.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;承租未保存登記建物約100坪,2020-07-01 00:00:00+00:00,,,
831,E,2020-05-06 00:00:00+00:00,RPXNMLTKNHPFFLE08CC,大寮區,831,土地,A,翁公園段二小段5701~5730地號,,,,1,0,0,85.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,有民情風俗因素之交易。;實際承租地坪約85坪，未保存登記建物約75坪,2020-07-01 00:00:00+00:00,,,
832,E,2020-05-07 00:00:00+00:00,RPPQMLTLNHPFFEE96CC,楠梓區,811,土地,A,楠都段一小段991~1020地號,,,,1,0,0,68.06,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,,2020-07-11 00:00:00+00:00,,,
833,E,2020-05-07 00:00:00+00:00,RPSOMLLLNHPFFLE96CC,大寮區,831,土地,A,潮寮北段811~840地號,,,,1,0,0,80.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;土地僅承租未保存建物占地部分約80坪,2020-07-11 00:00:00+00:00,,,
834,E,2020-05-08 00:00:00+00:00,RPTOMLSLNHPFFDE96CC,三民區,807,土地,A,建民段781~810地號,,,,1,0,0,45.07,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.1,0.0,有民情風俗因素之交易。;1.租賃期間:2年又17天.承租未保存登記建物約60坪.,2020-07-11 00:00:00+00:00,,,
835,E,2020-05-08 00:00:00+00:00,RPWNMLSKNHPFFJE67CC,路竹區,821,土地,A,大仁段301~330地號,,,,1,0,0,70.18,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,有民情風俗因素之交易。;承租地坪約70坪，承租未保存登記建物約60坪,2020-07-01 00:00:00+00:00,,,
836,E,2020-05-10 00:00:00+00:00,RPQNMLMJOHPFFAE18CC,鼓山區,804,土地,A,龍華段三小段691~720地號,,22.65249,120.299228,1,0,0,9.98,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.0,0.1,0.0,有民情風俗因素之交易。;承租分租之一部分房間,2020-07-22 00:00:00+00:00,,,
837,E,2020-05-11 00:00:00+00:00,RPUOMLMLNHPFFEE56CC,楠梓區,811,土地,A,藍田中段211~240地號,,,,1,0,0,326.65,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,5.0,0.0,0.0,,2020-07-11 00:00:00+00:00,,,
838,E,2020-05-11 00:00:00+00:00,RPXNMLSLNHPFFIE77CC,仁武區,814,土地,A,灣勢段931~960地號,,,,1,0,0,320.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.5,0.0,0.0,有民情風俗因素之交易。;1.承租未保存登記建物約251坪.2.實際承租地坪約320坪,2020-07-11 00:00:00+00:00,,,
839,E,2020-05-12 00:00:00+00:00,RPTOMLTKNHPFFEE07CC,左營區,813,土地,A,新庄段十三小段1411~1440地號,,,,1,0,0,61.11,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,,2020-07-01 00:00:00+00:00,,,
840,E,2020-05-12 00:00:00+00:00,RPUNMLTJOHPFFLE77CC,大寮區,831,土地,A,赤崁段1501~1530地號,,,,4,0,0,383.27,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,7.5,0.0,0.0,有民情風俗因素之交易。;承租二間未保存登記建物約230坪,2020-07-22 00:00:00+00:00,,,
841,E,2020-05-13 00:00:00+00:00,RPUNMLNKNHPFFLE17CC,林園區,832,土地,A,林園段1231~1260地號,,,,1,0,0,75.93,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.2,0.0,0.0,,2020-07-01 00:00:00+00:00,,,
842,E,2020-05-14 00:00:00+00:00,RPOOMLSLNHPFFIE96CC,仁武區,814,土地,A,仁營段931~960地號,,,,1,0,0,50.0,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.3,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約50坪.2.承租未保存登記建物約35坪.,2020-07-11 00:00:00+00:00,,,
843,E,2020-05-14 00:00:00+00:00,RPQOMLTKNHPFFGE96CC,鳳山區,830,土地,A,新庄子段181~210地號,,22.628559,120.348374,3,0,0,33.28,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.1,0.0,有民情風俗因素之交易。;,2020-07-01 00:00:00+00:00,,,
844,E,2020-05-14 00:00:00+00:00,RPRNMLTKNHPFFDE66CC,三民區,807,土地,A,大港段二小段1441~1470地號,,,,2,0,0,78.35,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,5.0,0.1,0.0,"有民情風俗因素之交易。;109.6.1-109.6.30為整修裝潢期,免付租金.109.7.1-111.5.31月租金5萬元整.111.6.1-113.5.31月租金5.15萬元整.113.6.1-114.5.31月租金5.3萬元整.",2020-07-01 00:00:00+00:00,,,
845,E,2020-05-14 00:00:00+00:00,RPXNMLKLNHPFFJE07CC,路竹區,821,土地,A,三爺埤段241~270地號,,,,1,0,0,300.08,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,5.5,0.0,0.0,有民情風俗因素之交易。;承租地坪約300坪，承租未保存登記建物約285坪,2020-07-01 00:00:00+00:00,,,
846,E,2020-05-15 00:00:00+00:00,RPSOMLSLNHPFFEE96CC,楠梓區,811,土地,A,高昌段1~30地號,,,,1,0,0,75.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約75坪.2.承租未保存登記建物約65坪.,2020-07-11 00:00:00+00:00,,,
847,E,2020-05-18 00:00:00+00:00,RPUNMLMLNHPFFIE86CC,仁武區,814,土地,A,仁雄段331~360地號,,22.678914,120.347962,1,0,0,58.49,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.4,0.1,0.0,有民情風俗因素之交易。;1.承租未保存登記建物約45坪,2020-07-11 00:00:00+00:00,,,
848,E,2020-05-20 00:00:00+00:00,RPVOMLSLNHPFFDE17CC,三民區,807,土地,A,建民段601~630地號,,22.643983,120.317728,1,0,0,59.59,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,有民情風俗因素之交易。;1.租賃期間:3年又12天.2.承租未保存登記建物約60坪.,2020-07-11 00:00:00+00:00,,,
849,E,2020-05-23 00:00:00+00:00,RPXNMLRLNHPFFFE37CC,燕巢區,824,土地,A,安西段841~870地號,,,,1,0,0,125.24,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;承租地坪約125坪，承租未保存登記建物約105坪,2020-07-11 00:00:00+00:00,,,
850,E,2020-05-24 00:00:00+00:00,RPWNMLSJOHPFFIE57CC,大社區,815,土地,A,尖山腳段1351~1380地號,,,,1,0,0,200.0,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.2,0.0,0.0,有民情風俗因素之交易。;1.實際租賃地坪約200坪.2.承租未保存登記建物約170坪.,2020-07-22 00:00:00+00:00,,,
851,E,2020-05-25 00:00:00+00:00,RPPOMLSLNHPFFIE07CC,仁武區,814,土地,A,灣勢段1081~1110地號,,,,3,0,0,219.92,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.0,0.0,0.0,,2020-07-11 00:00:00+00:00,,,
852,E,2020-05-25 00:00:00+00:00,RPUOMLQKOHPFFLE67CC,大寮區,831,土地,A,赤崁段潮州寮三小段6841~6870地號,,,,1,0,0,956.81,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,20.0,0.0,0.0,,2020-08-01 00:00:00+00:00,,,
853,E,2020-05-26 00:00:00+00:00,RPXPMLSJOHPFFEE47CC,楠梓區,811,土地,A,楠梓段三小段871~900地號,,,,1,0,0,130.08,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,有民情風俗因素之交易。;承租地坪約130坪，承租未保存登記建物約130坪,2020-07-22 00:00:00+00:00,,,
854,E,2020-05-27 00:00:00+00:00,RPQOMLSLNHPFFIE17CC,大社區,815,土地,A,中里段901~930地號,,,,1,0,0,125.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約125坪.2.承租未保存登記建物約105坪.,2020-07-11 00:00:00+00:00,,,
855,E,2020-05-27 00:00:00+00:00,RPTNMLPJOHPFFIE96CC,鳥松區,833,土地,A,松埔段961~990地號,,,,1,0,0,210.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.3,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約210坪.2.承租未保存登記建物約200坪.,2020-07-22 00:00:00+00:00,,,
856,E,2020-05-28 00:00:00+00:00,RPUNMLPJOHPFFIE07CC,大社區,815,土地,A,保甲段61~90地號,,22.749595,120.366166,1,0,0,70.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.9,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約70坪.2.承租未保存登記建物約62坪.,2020-07-22 00:00:00+00:00,,,
857,E,2020-05-28 00:00:00+00:00,RPWNMLKKOHPFFLE17CC,大寮區,831,土地,A,大寮段芎蕉腳小段1561~1590地號,,22.60152,120.420059,1,0,0,48.7,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.9,0.0,0.0,有民情風俗因素之交易。;租賃期間 1年0月又18天承租未保存登記建物約30坪,2020-07-22 00:00:00+00:00,,,
858,E,2020-05-29 00:00:00+00:00,RPOOMLPJOHPFFIE56CC,鳥松區,833,土地,A,美山段991~1020地號,,,,1,0,0,120.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.1,0.0,0.0,有民情風俗因素之交易。;1.租賃期間:2年1月又2天.2.實際承租地坪約120坪.承租未保存登記建物約110坪.,2020-07-22 00:00:00+00:00,,,
859,E,2020-05-29 00:00:00+00:00,RPPQMLMLOHPFFGE56CC,大樹區,840,土地,A,曹公段391~420地號,,,,1,0,0,99.83,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,,2020-08-12 00:00:00+00:00,,,
860,E,2020-05-29 00:00:00+00:00,RPQOMLLJOHPFFCE38CC,小港區,812,土地,A,坪鳳段181~210地號,,,,1,0,0,86.14,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.6,0.0,0.0,,2020-07-22 00:00:00+00:00,,,
861,E,2020-05-29 00:00:00+00:00,RPSNMLLKOHPFFFE88CC,岡山區,820,土地,A,大全段541~570地號,,22.796787,120.301828,1,0,0,66.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,6.0,0.1,0.0,,2020-08-01 00:00:00+00:00,,,
862,E,2020-05-30 00:00:00+00:00,RPPOMLPJOHPFFIE66CC,仁武區,814,土地,A,仁新段751~780地號,,22.69838,120.371161,1,0,0,105.88,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.2,0.0,0.0,有民情風俗因素之交易。;1.承租未保存登記建物約80坪.,2020-07-22 00:00:00+00:00,,,
863,E,2020-06-02 00:00:00+00:00,RPPNMLMKOHPFFIE98CC,仁武區,814,土地,A,仁新段1741~1770地號,,22.711639,120.357224,1,0,0,140.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.2,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約140坪.2.承租未保存登記建物約120坪.,2020-08-01 00:00:00+00:00,,,
864,E,2020-06-02 00:00:00+00:00,RPSNMLKKOHPFFFE78CC,彌陀區,827,土地,A,彌港段151~180地號,,,,1,0,0,299.67,,,一般農業區,12,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,8.5,0.0,0.0,有民情風俗因素之交易。;承租未保存登記建物約280坪,2020-07-22 00:00:00+00:00,,,
865,E,2020-06-02 00:00:00+00:00,RPSNMLKLOHPFFLE86CC,大寮區,831,土地,A,會結南段421~450地號,,,,1,0,0,300.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,9.5,0.0,0.0,有民情風俗因素之交易。;實際承租地坪約300坪，未保存登記建坪約260坪,2020-08-01 00:00:00+00:00,,,
866,E,2020-06-03 00:00:00+00:00,RPQNMLMKOHPFFIE09CC,仁武區,814,土地,A,北屋段331~360地號,,,,2,0,0,159.15,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,4.2,0.0,0.0,有民情風俗因素之交易。;1.承租未保存登記建物約160坪,2020-08-01 00:00:00+00:00,,,
867,E,2020-06-04 00:00:00+00:00,RPQOMLPJOHPFFIE76CC,大社區,815,土地,A,圳觀段331~360地號,,,,2,0,0,40.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.5,0.0,0.0,有民情風俗因素之交易。;1.租賃期間:3年15日.2.實際承租地坪約40坪.承租未保存登記建物約40坪.,2020-07-22 00:00:00+00:00,,,
868,E,2020-06-04 00:00:00+00:00,RPSNMLKLOHPFFFE88CC,燕巢區,824,土地,A,安西段211~240地號,,22.78622,120.319194,1,0,0,140.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;承租地坪約140坪，承租未保存登記建物約140坪,2020-08-01 00:00:00+00:00,,,
869,E,2020-06-05 00:00:00+00:00,RPXOMLSJOHPFFIE77CC,大社區,815,土地,A,保甲段601~630地號,,,,1,0,0,80.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,有民情風俗因素之交易。;未登記建築物80坪,2020-07-22 00:00:00+00:00,,,
870,E,2020-06-08 00:00:00+00:00,RPRNMLMJPHPFFIE56CC,仁武區,814,土地,A,灣勢段871~900地號,,22.677685,120.357857,1,0,0,115.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.5,0.0,0.0,含增建或未登記建物。;1.實際承租地坪約115坪.2承租未保存登記建物約100坪.,2020-09-04 00:00:00+00:00,,,
871,E,2020-06-08 00:00:00+00:00,RPRNMLMKOHPFFIE56CC,大社區,815,土地,A,林邊段361~390地號,,,,1,0,0,324.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,7.0,0.0,0.0,有民情風俗因素之交易。;1.實際承租地坪約324坪.2.承租未保存登記建物約300坪.,2020-08-01 00:00:00+00:00,,,
872,E,2020-06-09 00:00:00+00:00,RPQNMLMKOHPFFGE88CC,鳳山區,830,土地,A,頂新段181~210地號,,,,1,0,0,52.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.3,0.0,0.0,有民情風俗因素之交易。;,2020-08-01 00:00:00+00:00,,,
873,E,2020-06-10 00:00:00+00:00,RPTNMLSJPHPFFFE07CC,橋頭區,825,土地,A,橋北段811~840地號,,22.756448,120.310317,1,0,0,104.97,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.5,0.0,0.0,,2020-09-04 00:00:00+00:00,,,
874,E,2020-06-10 00:00:00+00:00,RPXRMLMJPHPFFIE57CC,鳥松區,833,土地,A,長庚段301~330地號,,22.648267,120.365278,1,0,0,10.0,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.5,0.0,0.0,含增建或未登記建物。;土地僅承租未保存建物占地部分約10坪,2020-09-04 00:00:00+00:00,,,
875,E,2020-06-12 00:00:00+00:00,RPQNMLTJPHPFFIE17CC,仁武區,814,土地,A,仁營段1~30地號,,22.717949,120.3512,1,0,0,70.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,含增建或未登記建物。;1.租賃期間:2年又7日.2.實際租賃地坪約70坪.3.承租未保存登記建物約70坪.,2020-09-04 00:00:00+00:00,,,
876,E,2020-06-12 00:00:00+00:00,RPTNMLTKOHPFFHE37CC,內門區,845,土地,A,中新段61~90地號,,,,1,0,0,1243.52,,,山坡地保育區,15,農牧用地,05,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,0.2,0.0,0.0,,2020-08-01 00:00:00+00:00,,,Y
877,E,2020-06-16 00:00:00+00:00,RPOOMLTKOHPFFGE86CC,鳳山區,830,土地,A,新庄子段241~270地號,,22.627762,120.34803,1,0,0,384.18,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,25.0,0.1,0.0,,2020-08-01 00:00:00+00:00,,,
878,E,2020-06-20 00:00:00+00:00,RPUNMLQKPHPFFLE67CC,大寮區,831,土地,A,磚子嗂段3781~3810地號,,,,1,0,0,200.0,農業區,09,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.5,0.0,0.0,含增建或未登記建物。;租賃期間:3年0月又10天實際承租地坪約200坪，未保存登記建物約115坪,2020-09-04 00:00:00+00:00,,,
879,E,2020-06-24 00:00:00+00:00,RPXOMLRJPHPFFGE57CC,鳳山區,830,土地,A,牛潮埔段1111~1140地號,,22.640095,120.374193,1,0,0,866.97,工業區,03,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,10.1,0.0,0.0,,2020-09-04 00:00:00+00:00,,,
880,E,2020-06-26 00:00:00+00:00,RPRNMLTJPHPFFFE96CC,燕巢區,824,土地,A,燕中段91~120地號,,22.795019,120.364528,2,0,0,74.85,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,2.0,0.0,0.0,含增建或未登記建物。;承租未保存登記建物約110坪,2020-09-04 00:00:00+00:00,,,
881,E,2020-06-29 00:00:00+00:00,RPVRMLKKPHPFFIE27CC,大社區,815,土地,A,大安段871~900地號,,22.732496,120.344125,1,0,0,18.15,其他,99,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.2,0.0,此件為未保存建物。土地租賃面積為約略計算。,2020-09-04 00:00:00+00:00,,,
882,E,2020-07-01 00:00:00+00:00,RPROMLOLPHPFFCE09CC,小港區,812,土地,A,坪頂段31~60地號,,22.565473,120.383128,1,0,0,100.5,住宅區,01,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,3.0,0.0,0.0,含增建或未登記建物。;承租未保存登記建物約85坪,2020-09-11 00:00:00+00:00,,,
883,E,2020-07-01 00:00:00+00:00,RPTPMLRLPHPFFBE96CC,新興區,800,土地,A,新興段四小段1591~1620地號,,22.631949,120.300451,1,0,0,25.11,商業區,02,,,,,,0,N,0,N,其他,99,,,,,,,0.0,0,0,0,Y,N,,,,0.0,1.1,0.0,0.0,,2020-09-11 00:00:00+00:00,,,
